date,day,exercise,weightKg,setNumber,reps,setStatus,outcome
2026-08-30,push,Seated DB overhead press,15,1,12,done,success
2026-08-30,push,Seated DB overhead press,15,2,12,done,success
2026-08-30,push,Seated DB overhead press,15,3,12,done,success
2026-08-30,push,Seated DB overhead press,15,4,12,done,success
2026-08-30,push,DB incline press,16,1,15,done,success
2026-08-30,push,DB incline press,16,2,15,done,success
2026-08-30,push,DB incline press,16,3,15,done,success
2026-08-30,push,DB incline press,16,4,15,done,success
2026-08-30,push,Leaning DB lateral raise,7,1,15,done,success
2026-08-30,push,Leaning DB lateral raise,7,2,15,done,success
2026-08-30,push,Leaning DB lateral raise,7,3,15,done,success
2026-08-30,push,DB lateral raise,6,1,20,done,success
2026-08-30,push,DB lateral raise,6,2,20,done,success
2026-08-30,push,DB lateral raise,6,3,20,done,success
2026-08-30,push,Feet-elevated push-ups,,1,,done,success
2026-08-30,push,Feet-elevated push-ups,,2,,done,success
2026-08-30,push,Feet-elevated push-ups,,3,,done,success
2026-08-30,push,Pulley triceps pushdown,20,1,15,done,success
2026-08-30,push,Pulley triceps pushdown,20,2,15,done,success
2026-08-30,push,Pulley triceps pushdown,20,3,15,done,success
2026-08-30,pull,Scapular pull-ups,,1,8,done,success
2026-08-30,pull,Scapular pull-ups,,2,8,done,success
2026-08-30,pull,Straight-arm pulldown (activation),10,1,15,done,success
2026-08-30,pull,Straight-arm pulldown (activation),10,2,15,done,success
2026-08-30,pull,Pull-ups,,1,,done,success
2026-08-30,pull,Pull-ups,,2,,done,success
2026-08-30,pull,Pull-ups,,3,,done,success
2026-08-30,pull,Single-arm DB row,32,1,10,done,success
2026-08-30,pull,Single-arm DB row,32,2,10,done,success
2026-08-30,pull,Single-arm DB row,32,3,10,done,success
2026-08-30,pull,Chest-supported DB row,12,1,15,done,success
2026-08-30,pull,Chest-supported DB row,12,2,15,done,success
2026-08-30,pull,Chest-supported DB row,12,3,15,done,success
2026-08-30,pull,Straight-arm pulldown (working),20,1,15,done,success
2026-08-30,pull,Straight-arm pulldown (working),20,2,15,done,success
2026-08-30,pull,Straight-arm pulldown (working),20,3,15,done,success
2026-08-30,pull,Face pulls,15,1,20,done,success
2026-08-30,pull,Face pulls,15,2,20,done,success
2026-08-30,pull,Face pulls,15,3,20,done,success
2026-08-30,pull,Incline DB curl,10,1,12,done,success
2026-08-30,pull,Incline DB curl,10,2,12,done,success
2026-08-30,pull,Incline DB curl,10,3,12,done,success
2026-08-30,push,Seated DB overhead press,15,1,12,done,fail
2026-08-30,push,Seated DB overhead press,15,2,12,done,fail
2026-08-30,push,Seated DB overhead press,15,3,12,done,fail
2026-08-30,push,Seated DB overhead press,15,4,,missed,fail
2026-08-30,push,DB incline press,16,1,15,done,fail
2026-08-30,push,DB incline press,16,2,15,done,fail
2026-08-30,push,DB incline press,16,3,15,done,fail
2026-08-30,push,DB incline press,16,4,,missed,fail
2026-08-30,push,Leaning DB lateral raise,7,1,15,done,fail
2026-08-30,push,Leaning DB lateral raise,7,2,15,done,fail
2026-08-30,push,Leaning DB lateral raise,7,3,,missed,fail
2026-08-30,push,DB lateral raise,6,1,20,done,success
2026-08-30,push,DB lateral raise,6,2,20,done,success
2026-08-30,push,DB lateral raise,6,3,20,done,success
2026-08-30,push,Feet-elevated push-ups,,1,,done,success
2026-08-30,push,Feet-elevated push-ups,,2,,done,success
2026-08-30,push,Feet-elevated push-ups,,3,,done,success
2026-08-30,push,Pulley triceps pushdown,20,1,15,done,success
2026-08-30,push,Pulley triceps pushdown,20,2,15,done,success
2026-08-30,push,Pulley triceps pushdown,20,3,15,done,success
